signatureID	similarity	pValue	nGenes	compound	lincsPertID	GeneTargets	concentration	cellLine	time	_row
LINCSCP_35416	0.4128005893	1.686496995e-11	245	Apatinib Hydrochloride	LSM-4810	HDAC1|HDAC10|HDAC11|HDAC2|HDAC3|HDAC4|HDAC5|HDAC6|HDAC7|HDAC8|HDAC9	0.5uM	MCF7	24h	LINCSCP_35416
LINCSCP_57773	0.4127771802	1.691368931e-11	245	CHEMBL1716096	LSM-2446	NA	10uM	VCAP	24h	LINCSCP_57773
LINCSCP_167039	0.4127670884	1.693473471e-11	245	17-DMAG (Alvespimycin) HCl	LSM-46133	NA	0.37uM	YAPC	24h	LINCSCP_167039
LINCSCP_56264	0.4127372304	1.699715003e-11	245	Estradiol	LSM-2421	ESR1|ESR2|NR1I2	10uM	VCAP	24h	LINCSCP_56264
LINCSCP_90477	0.4127281034	1.701627354e-11	245	Tamatinib	LSM-1040	SYK	10uM	HA1E	24h	LINCSCP_90477
LINCSCP_29527	0.4127033194	1.706830888e-11	245	BX 912	LSM-1055	PDK1|PDPK1	10uM	MCF10A	24h	LINCSCP_29527
LINCSCP_111999	0.4126548201	1.71705843e-11	245	AZ628	LSM-1050	BRAF|RAF1	0.12uM	HEPG2	24h	LINCSCP_111999
LINCSCP_29863	0.4126435967	1.719433699e-11	245	GSK-1904529A	LSM-1134	IGF1R|INSR	10uM	MCF10A	24h	LINCSCP_29863
LINCSCP_116814	0.4126350705	1.721240284e-11	245	AS-605240	LSM-42784	PIK3CG	0.37uM	HT29	24h	LINCSCP_116814
LINCSCP_36375	0.4126303625	1.722238645e-11	245	KU0060648	LSM-4935	PIK3CA|PIK3CB|PIK3CD|PRKDC	10uM	MCF7	6h	LINCSCP_36375
