term	id	nGeneIds	pvalue	adjPvalue	oddsRatio	nOverlap	batch	timepoint	cellLine	batch2	perturbation	concentration	direction
ERG010_VCAP_24H_J16_geldanamycin_0.08uM down	edc9c397-4d82-47e3-8ea4-8609bf98963a	250	5.3243369009738714e-27	1.1452819325818546e-22	4.356802228412256	69	ERG010	VCAP	24H	J16	geldanamycin	0.08uM	down
AICHI002_K562_4H_N10_AZD-5438_0.125uM up	9ca9616a-2dbd-41ae-975a-85d77c693412	250	3.329840619605136e-26	5.94342897954957e-22	4.293660167130919	68	AICHI002	K562	4H	N10	AZD-5438	0.125uM	up
CPC011_PC3_24H_O24_mevastatin_10uM down	4656fb8d-5ab0-4d0f-ae91-a743e43dff0c	250	3.329840619605136e-26	5.94342897954957e-22	4.293660167130919	68	CPC011	PC3	24H	O24	mevastatin	10uM	down
REP.A025_PC3_24H_H02_AZD-2014_3.33uM down	477cf810-690b-4f10-b7f4-30b060391527	250	3.329840619605136e-26	5.94342897954957e-22	4.293660167130919	68	REP.A025	PC3	24H	H02	AZD-2014	3.33uM	down
REP.A008_PC3_24H_A14_niclosamide_3.33uM down	99b6c2ef-884a-4036-a28e-b09f5867e18f	250	3.329840619605136e-26	5.94342897954957e-22	4.293660167130919	68	REP.A008	PC3	24H	A14	niclosamide	3.33uM	down
AICHI001_THP1_4H_G05_Mps1-IN-1_0.04uM up	920fe86b-eeae-477f-a691-5afea7b9b8d0	250	3.329840619605136e-26	5.94342897954957e-22	4.293660167130919	68	AICHI001	THP1	4H	G05	Mps1-IN-1	0.04uM	up
CPC005_PC3_24H_G18_simvastatin_10uM down	f5e859de-45b8-4ca2-803a-40ab638c4a77	250	3.329840619605136e-26	5.94342897954957e-22	4.293660167130919	68	CPC005	PC3	24H	G18	simvastatin	10uM	down
DOS012_VCAP_24H_M09_geldanamycin_10uM down	d13899e1-5b4f-435e-a562-db38a0c0da3f	250	3.329840619605136e-26	5.94342897954957e-22	4.293660167130919	68	DOS012	VCAP	24H	M09	geldanamycin	10uM	down
CPC006_HT29_6H_C04_AZD-8055_10uM down	483b6be6-7674-4208-b2f2-28cd898a8ef8	250	3.329840619605136e-26	5.94342897954957e-22	4.293660167130919	68	CPC006	HT29	6H	C04	AZD-8055	10uM	down
REP.B020_HT29_24H_F01_refametinib_2.22uM down	cf829001-d4d9-4a3e-9f1b-202edd01a0e9	250	3.329840619605136e-26	5.94342897954957e-22	4.293660167130919	68	REP.B020	HT29	24H	F01	refametinib	2.22uM	down
AICHI001_THP1_4H_A07_GDC-0941_10uM down	8a7de4d8-6460-4752-9edd-6ad796d58f98	250	3.329840619605136e-26	5.94342897954957e-22	4.293660167130919	68	AICHI001	THP1	4H	A07	GDC-0941	10uM	down
REP.B005_PC3_24H_E22_deforolimus_0.08uM down	179c1307-11fb-4e40-92b9-977925459637	250	3.329840619605136e-26	5.94342897954957e-22	4.293660167130919	68	REP.B005	PC3	24H	E22	deforolimus	0.08uM	down
REP.A011_HT29_24H_E01_PD-184352_10uM down	33446621-5372-4db5-b2af-680463d52ab3	250	3.329840619605136e-26	5.94342897954957e-22	4.293660167130919	68	REP.A011	HT29	24H	E01	PD-184352	10uM	down
DEB001_PC3_6H_C09_wortmannin_10uM down	0dd1316b-d6f6-462c-9850-94fe6a7c1b17	250	3.329840619605136e-26	5.94342897954957e-22	4.293660167130919	68	DEB001	PC3	6H	C09	wortmannin	10uM	down
REP.B013_HELA_24H_A20_zardaverine_0.74uM up	eabca8b4-f5cc-4ab5-88c1-0a4fa52fd529	250	3.329840619605136e-26	5.94342897954957e-22	4.293660167130919	68	REP.B013	HELA	24H	A20	zardaverine	0.74uM	up
REP.A007_HT29_24H_L01_amitriptyline_10uM down	2b6ffb4a-2e68-4a5f-8c3e-9706dfff9e6e	250	3.329840619605136e-26	5.94342897954957e-22	4.293660167130919	68	REP.A007	HT29	24H	L01	amitriptyline	10uM	down
CPC006_HT29_6H_P19_BMS-536924_12uM down	c517ba7a-0225-4344-8d50-b517206cc4d4	250	3.329840619605136e-26	5.94342897954957e-22	4.293660167130919	68	CPC006	HT29	6H	P19	BMS-536924	12uM	down
